OBJECTID,Postal,Lat,Lng,Type,ISO3,REGION
127,"Talara,Peru",-4.577220000000000,-81.271940000000000,Bulk,PER,Latin America & Caribbean
126,"Paita,Peru",-5.089169999999990,-81.114440000000000,Bulk,PER,Latin America & Caribbean
119,"Cristobal,Panama",9.352219999999990,-79.904440000000000,General,PAN,Latin America & Caribbean
118,"Colon,Panama",9.354510000000000,-79.900109999999900,General,PAN,Latin America & Caribbean
52,"Guayaquil,Ecuador",-2.196160000000000,-79.886209999999900,General,ECU,Latin America & Caribbean
120,"Balboa,Panama",8.948139999999990,-79.566719999999900,General,PAN,Latin America & Caribbean
10,"Freeport Bahamas,Bahamas",26.533329999999900,-78.700000000000000,General,BHS,
123,"Callao,Peru",-12.056590000000000,-77.118139999999900,General,PER,Latin America & Caribbean
36,"Buenaventura,Colombia",3.880100000000000,-77.031160000000000,General,COL,Latin America & Caribbean
90,"Port of Kingston,Jamaica",17.937379999999900,-76.840620000000000,General,JAM,Latin America & Caribbean
37,"Cartagena,Colombia",10.399720000000000,-75.514440000000000,General,COL,Latin America & Caribbean
39,"Barranquilla,Colombia",10.968539999999900,-74.781319999999900,General,COL,Latin America & Caribbean
38,"Santa Marta,Colombia",11.240789999999900,-74.199039999999900,General,COL,Latin America & Caribbean
66,"Port au Prince ,Haiti",18.543489999999900,-72.338809999999900,General,HTI,Latin America & Caribbean
125,"Matarani,Peru",-16.996389999999900,-72.105630000000000,Bulk,PER,Latin America & Caribbean
40,"Puerto Bolivar,Colombia",12.241070000000000,-71.962419999999900,Bulk,COL,Latin America & Caribbean
31,"Valparaiso,Chile",-33.036000000000000,-71.629630000000000,General,CHL,
32,"San Antonio,Chile",-33.594729999999900,-71.607460000000000,General,CHL,
34,"Calderilla,Chile",-27.088859999999900,-70.856940000000000,Bulk,CHL,
33,"Caldera,Chile",-27.068120000000000,-70.819209999999900,Bulk,CHL,
35,"Chanaral,Chile",-26.342979999999900,-70.616480000000000,Bulk,CHL,
7,"Bahia Blanca,Argentina",-38.719590000000000,-62.272430000000000,Bulk,ARG,Latin America & Caribbean
6,"Rosario,Argentina",-32.946820000000000,-60.639319999999900,Bulk,ARG,Latin America & Caribbean
9,"Necochea,Argentina",-38.554499999999900,-58.739609999999900,Bulk,ARG,Latin America & Caribbean
5,"Buenos Aires,Argentina",-34.613149999999900,-58.377230000000000,General,ARG,Latin America & Caribbean
8,"La Plata,Argentina",-34.921450000000000,-57.954530000000000,Bulk,ARG,Latin America & Caribbean
168,"Montevideo,Uruguay",-34.903280000000000,-56.188159999999900,General,URY,
27,"Parana,Brazil",-25.427779999999900,-49.273060000000000,Bulk,BRA,Latin America & Caribbean
26,"Tubarao,Brazil",-28.466670000000000,-49.006940000000000,Bulk,BRA,Latin America & Caribbean
18,"Itajaφ,Brazil",-26.907779999999900,-48.661940000000000,General,BRA,Latin America & Caribbean
16,"Itapoa,Brazil",-26.116940000000000,-48.616109999999900,General,BRA,Latin America & Caribbean
15,"Paranagua,Brazil",-25.516259999999900,-48.525370000000000,General,BRA,Latin America & Caribbean
14,"Santos,Brazil",-23.960829999999900,-46.333610000000000,General,BRA,Latin America & Caribbean
25,"Sepetiba,Brazil",-22.979310000000000,-43.697940000000000,Bulk,BRA,Latin America & Caribbean
17,"Rio Grande,Brazil",-22.906420000000000,-43.182229999999900,General,BRA,Latin America & Caribbean
21,"Rio de Janeiro,Brazil",-22.906420000000000,-43.182229999999900,General,BRA,Latin America & Caribbean
22,"Salvador de Bahia,Brazil",-12.971110000000000,-38.510829999999900,General,BRA,Latin America & Caribbean
143,"Dakar,Senegal",14.693700000000000,-17.444060000000000,General,SEN,Sub-Saharan Africa
100,"Nouadhibou,Mauritania",20.941879999999900,-17.038420000000000,Bulk,MRT,Sub-Saharan Africa
158,"Banjul,The Gambia",13.452739999999900,-16.578029999999900,Bulk,GMB,Sub-Saharan Africa
65,"Kamsar,Guinea",10.650000000000000,-14.616670000000000,Bulk,GIN,Sub-Saharan Africa
64,"Conakry,Guinea",9.537950000000000,-13.677289999999900,General,GIN,Sub-Saharan Africa
146,"Freetown,Sierra Leone",8.487140000000000,-13.235600000000000,General,SLE,Sub-Saharan Africa
95,"Monrovia,Liberia",6.300540000000000,-10.796900000000000,General,LBR,Sub-Saharan Africa
96,"Buchanan,Liberia",5.876930000000000,-10.049640000000000,Bulk,LBR,Sub-Saharan Africa
107,"Agadir,Morocco",30.420179999999900,-9.598150000000000,General,MAR,Middle East & North Africa
106,"Tangier,Morocco",35.767270000000000,-5.799750000000000,General,MAR,Middle East & North Africa
59,"Takoradi,Ghana",4.898160000000000,-1.760290000000000,General,GHA,Sub-Saharan Africa
60,"Tema,Ghana",5.669800000000000,-0.016570000000000,General,GHA,Sub-Saharan Africa
159,"Lome,Togo",6.128740000000000,1.221540000000000,General,TGO,Sub-Saharan Africa
3,"Tenes,Algeria",36.510759999999900,1.308090000000000,Bulk,DZA,Middle East & North Africa
13,"Cotonou,Benin",6.365360000000000,2.418330000000000,General,BEN,Sub-Saharan Africa
2,"Algiers,Algeria",36.732250000000000,3.087460000000000,General,DZA,Middle East & North Africa
115,"Lagos,Nigeria",6.454070000000000,3.394670000000000,General,NGA,Sub-Saharan Africa
56,"Owendo,Gabon",0.291230000000000,9.504650000000000,General,GAB,Sub-Saharan Africa
29,"Douala,Cameroon",4.048270000000000,9.704280000000000,General,CMR,Sub-Saharan Africa
30,"Kribi,Cameroon",2.937250000000000,9.907650000000000,Bulk,CMR,Sub-Saharan Africa
160,"Rades,Tunisia",36.769459999999900,10.274680000000000,General,TUN,Middle East & North Africa
4,"Luanda,Angola",-8.836819999999990,13.234320000000000,General,AGO,Sub-Saharan Africa
48,"Rijeka,Croatia",45.326729999999900,14.442410000000000,General,HRV,
113,"Walvis Bay,Namibia",-22.957500000000000,14.505279999999900,General,NAM,Sub-Saharan Africa
49,"Ploce,Croatia",43.056109999999900,17.432779999999900,General,HRV,
154,"Saldanha Bay,South Africa",-33.011670000000000,17.944199999999900,Bulk,ZAF,Sub-Saharan Africa
151,"Cape Town,South Africa",-33.925840000000000,18.423220000000000,General,ZAF,Sub-Saharan Africa
1,"Durres,Albania",41.323549999999900,19.454689999999900,General,ALB,Europe & Central Asia
