ID,Average Rating,Latitude,Longitude,Person Capacity,Price
18139000,4.7,42.39186,-71.09033,3,$118
37156934,4.84,42.38818,-71.08945,7,$205
52352265,,42.3911,-71.09198,2,$42
41087314,4.77,42.38944,-71.08419,6,$142
37156594,5.0,42.38787,-71.08804,5,$185
20846674,5.0,42.39423,-71.09096,1,$60
41102193,,42.39347,-71.07929,2,$191
24605964,4.81,42.38833,-71.08337,2,$51
14757011,4.69,42.38967,-71.09149,2,$77
1152054,4.43,42.38901,-71.09069,2,$45
52352245,,42.38983,-71.09376,2,$38
51259396,4.21,42.38723,-71.08366,2,$45
44999916,4.5,42.38821,-71.08555,4,$162
43121188,,42.39345,-71.07923,2,$189
52200292,4.0,42.38707,-71.08501,6,$115
53582163,,42.39608,-71.07835,4,$221
28201782,4.79,42.38947,-71.0808,7,$192
20229981,4.46,42.38967,-71.09149,1,$85
3490140,4.4,42.39557,-71.09034,1,$65
48735344,4.27,42.38728,-71.08473,4,$160
52807722,,42.39429,-71.07947,4,$206
49005763,,42.394665,-71.088074,4,$262
9097779,4.75,42.38894,-71.08246,2,$48
32342676,4.6,42.38805,-71.08566,2,$78
49005759,,42.394665,-71.088074,2,$177
30539659,4.68,42.38833,-71.08337,2,$49
36667413,3.33,42.38701,-71.0862,2,$59
20960511,4.5,42.38967,-71.09149,2,$75
16203846,4.92,42.38967,-71.09149,2,$65
52352204,,42.39143,-71.09224,2,$45
48199944,4.06,42.38775,-71.0845,2,$50
52352260,,42.39015,-71.09211,2,$45
42291527,,42.3931,-71.07776,2,$191
3220412,4.73,42.39547,-71.08933,1,$65
53971262,,42.39346,-71.09351,5,$87
6698552,5.0,42.39373,-71.09903,2,$65
28542114,4.75,42.39292,-71.09915,1,$49
8800698,4.72,42.39712,-71.08721,2,$59
24542831,5.0,42.39317,-71.09816,2,$300
53333371,,42.39452,-71.08721,1,$34
48990701,,42.3957,-71.08764,4,$217
3504918,4.43,42.39389,-71.08931,2,$55
14265707,4.83,42.39327,-71.08985,8,$206
53332863,,42.3964,-71.0858,1,$48
25106852,5.0,42.39386,-71.09967,4,$195
2659303,4.9,42.39731,-71.09745,4,$200
52153752,,42.3923,-71.08703,2,$40
47469824,,42.39543,-71.08922,10,$400
2134689,4.14,42.39568,-71.09029,1,$45
